city,period,units_total_absorption,fitted_units
MMR,Q1-2021,36596.0,36089.065739542275
MMR,Q2-2021,20586.0,20178.763427498423
MMR,Q3-2021,29334.0,28510.248570113872
MMR,Q4-2021,36048.0,36133.80733301336
MMR,Q1-2022,39494.0,39841.16050370755
MMR,Q2-2022,39527.0,39002.13016313808
MMR,Q3-2022,40182.0,39932.522861498626
MMR,Q4-2022,42103.0,42667.36350272464
MMR,Q1-2023,44677.0,44134.513287868125
MMR,Q2-2023,40159.0,39974.68460652092
MMR,Q3-2023,40822.0,40795.29218377564
MMR,Q4-2023,46713.0,46415.06755902226
MMR,Q1-2024,50316.0,48546.16984105316
MMR,Q2-2024,42208.0,41711.99706438063
MMR,Q3-2024,38943.0,38834.117163175375
MMR,Q4-2024,42762.0,41974.2397636694
MMR,Q1-2025,40068.0,39722.12043858841
MMR,Q2-2025,33534.0,33768.82288735686
MMR,Q3-2025,34007.0,33985.84037608043
MMR,Q4-2025,36193.0,35949.801262742134
NCR,Q1-2008,12104.0,
NCR,Q2-2008,10320.0,
NCR,Q3-2008,8208.0,
NCR,Q4-2008,4785.0,
NCR,Q1-2009,7748.0,7170.247635672401
NCR,Q2-2009,19052.0,18367.421788289026
NCR,Q3-2009,20046.0,19342.509637903568
NCR,Q4-2009,15994.0,15430.277618916765
NCR,Q1-2010,21107.0,19583.368145614226
NCR,Q2-2010,32296.0,30680.37567231378
NCR,Q3-2010,29860.0,29164.18777566303
NCR,Q4-2010,29725.0,29102.734714940365
NCR,Q1-2011,25480.0,26058.13743321746
NCR,Q2-2011,20893.0,20847.165290196812
NCR,Q3-2011,18355.0,18688.863053306166
NCR,Q4-2011,16130.0,16463.973022813487
NCR,Q1-2012,15263.0,14914.350514463964
NCR,Q2-2012,14548.0,14425.519848953756
NCR,Q3-2012,15925.0,16358.814584812188
NCR,Q4-2012,17300.0,16857.933533999218
NCR,Q1-2013,14669.0,15299.386370379509
NCR,Q2-2013,16342.0,16645.154872536466
NCR,Q3-2013,12939.0,13387.711757457164
NCR,Q4-2013,11331.0,11568.938122922815
NCR,Q1-2014,10087.0,10214.022623041466
NCR,Q2-2014,8874.0,9759.796107958957
NCR,Q3-2014,9355.0,9169.551087952037
NCR,Q4-2014,9069.0,9113.524361283344
NCR,Q1-2015,9927.0,9914.830117984608
